"filename", "language", "JSON", "PHP", "XML", "PostCSS", "JavaScript", "Markdown", "comment", "blank", "total"
"d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_09_20_115123_create_project_fields_table.php", "PHP", 0, 21, 0, 0, 0, 0, 6, 6, 33
"d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_10_08_170618_create_announcements_table.php", "PHP", 0, 22, 0, 0, 0, 0, 6, 6, 34
"d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_10_08_171126_create_reserves_table.php", "PHP", 0, 25, 0, 0, 0, 0, 6, 7, 38
"d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_10_08_171235_create_lab_reserves_table.php", "PHP", 0, 23, 0, 0, 0, 0, 6, 10, 39
"d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_10_27_160507_create_inventories_table.php", "PHP", 0, 25, 0, 0, 0, 0, 6, 7, 38
"d:\Code\PAD\SI-Lab-TRPL\database\seeders\AnnouncementSeeder.php", "PHP", 0, 12, 0, 0, 0, 0, 3, 4, 19
"d:\Code\PAD\SI-Lab-TRPL\database\seeders\AssistantLecturerSeeder.php", "PHP", 0, 27, 0, 0, 0, 0, 3, 6, 36
"d:\Code\PAD\SI-Lab-TRPL\database\seeders\AttendanceSeeder.php", "PHP", 0, 24, 0, 0, 0, 0, 3, 5, 32
"d:\Code\PAD\SI-Lab-TRPL\database\seeders\DatabaseSeeder.php", "PHP", 0, 26, 0, 0, 0, 0, 4, 5, 35
"d:\Code\PAD\SI-Lab-TRPL\database\seeders\FieldSeeder.php", "PHP", 0, 40, 0, 0, 0, 0, 3, 5, 48
"d:\Code\PAD\SI-Lab-TRPL\database\seeders\InventorySeeder.php", "PHP", 0, 12, 0, 0, 0, 0, 3, 4, 19
"d:\Code\PAD\SI-Lab-TRPL\database\seeders\LabAdministratorSeeder.php", "PHP", 0, 34, 0, 0, 0, 0, 3, 6, 43
"d:\Code\PAD\SI-Lab-TRPL\database\seeders\LabReserveSeeder.php", "PHP", 0, 24, 0, 0, 0, 0, 3, 5, 32
"d:\Code\PAD\SI-Lab-TRPL\database\seeders\LaboratoriumSeeder.php", "PHP", 0, 61, 0, 0, 0, 0, 3, 5, 69
"d:\Code\PAD\SI-Lab-TRPL\database\seeders\LectureScheduleSeeder.php", "PHP", 0, 75, 0, 0, 0, 0, 3, 5, 83
"d:\Code\PAD\SI-Lab-TRPL\database\seeders\ProjectFieldSeeder.php", "PHP", 0, 36, 0, 0, 0, 0, 3, 5, 44
"d:\Code\PAD\SI-Lab-TRPL\database\seeders\ProjectHistorySeeder.php", "PHP", 0, 36, 0, 0, 0, 0, 3, 5, 44
"d:\Code\PAD\SI-Lab-TRPL\database\seeders\ProjectSeeder.php", "PHP", 0, 12, 0, 0, 0, 0, 3, 4, 19
